name_ar,name_en,sku,category_ar,category_en,price,quantity,description_ar,description_en,origin
برتقال فالنسيا,Valencia Oranges,KA-VAL-ORANGE,الموالح,Citrus,420,1000,برتقال عصير من الدرجة الأولى من مزارع شريكة موثوقة. نسبة سكر 11–12°. بتنسيق من جدة.,World-class juicing oranges from trusted partner farms. High Brix 11–12°. Coordinated from Jeddah.,Jeddah Saudi Arabia
برتقال نافيل فاخر,Premium Navel Oranges,KA-NAV-ORANGE,الموالح,Citrus,450,1000,برتقال نافيل بدون بذور بلون قشرة نابض وحلاوة متوازنة.,Seedless Navel oranges with vibrant peel and balanced sweetness. Export-grade for premium retail.,Jeddah Saudi Arabia
تمر مجدول فاخر,Premium Medjool Dates,KA-MED-DATES,التمور,Dates,3200,500,تمر مجدول كبير غني بالكراميل. درجة جامبو برطوبة 20%+.,Large caramel-rich Medjool dates. Jumbo grade with 20%+ moisture.,Jeddah Saudi Arabia
تمر برحي طازج,Barhi Fresh Dates,KA-BAR-DATES,التمور,Dates,2400,400,تمر برحي أصفر مقرمش لبرامج فاخرة موسمية.,Crisp yellow Barhi dates for seasonal luxury programs.,Jeddah Saudi Arabia
أفوكادو هاس,Hass Avocados,KA-HASS-AVO,الفواكه,Fruits,1850,400,أفوكادو هاس كريمي بنسبة زيت 22%+. تصدير بسلسلة تبريد.,Creamy Hass avocados with 22%+ oil content. Cold-chain export ready.,Jeddah Saudi Arabia
رمان فاخر,Premium Pomegranates,KA-POM-FRUIT,الفواكه,Fruits,980,500,رمان بحبوب ياقوتية وإنتاجية عصير عالية.,Ruby arils with high juice yield for retail and juice programs.,Jeddah Saudi Arabia
بطاطس سبونتا مائدة,Spunta Table Potatoes,KA-SPU-POT,الخضروات,Vegetables,380,2000,بطاطس سبونتا مغسولة بأحجام موحدة. عمر تخزين طويل.,Washed Spunta potatoes with uniform sizing. Long shelf life under cold storage.,Jeddah Saudi Arabia
بصل أحمر,Red Onions,KA-RED-ONI,الخضروات,Vegetables,420,1500,بصل أحمر متماسك بلون قوي وعمر تخزين طويل.,Firm red onions with strong color and long storage life.,Jeddah Saudi Arabia
ثوم طازج,Fresh Garlic,KA-FRH-GAR,الخضروات,Vegetables,1100,600,ثوم أبيض طازج بفصوص متماسكة وقشور نظيفة.,White fresh garlic with tight cloves and clean skins.,Jeddah Saudi Arabia
مانجو كينت,Kent Mangoes,KA-KEN-MANGO,الفواكه,Fruits,1100,600,مانجو كينت خالية من الألياف بحلاوة استوائية ولحم متماسك.,Fiber-free Kent mangoes with tropical sweetness and firm flesh.,Jeddah Saudi Arabia
فراولة مجمدة IQF,IQF Frozen Strawberries,KA-IQF-STR,المجمدات,Frozen,2800,200,فراولة IQF كاملة ومقطعة عند -18°م. درجة A/B.,IQF strawberries whole and sliced at -18C. Grade A/B.,Jeddah Saudi Arabia
خضروات مشكلة مجمدة IQF,IQF Mixed Vegetables,KA-IQF-VEG,المجمدات,Frozen,1450,200,خلطات خضروات IQF للخدمات الغذائية والتجزئة.,IQF mixed vegetable blends for foodservice and retail.,Jeddah Saudi Arabia
